Lake-link,Space,SpaceSpec,MaxDeep,AvrDeep,Long,Wide,Latitude,Longitude
https://www.wassertemperatur.org/waginger-see/,6.61,km²,,,,,,
https://www.wassertemperatur.org/deutschland/baden-wuerttemberg/waidsee/,24.0,ha,,,,,,
https://www.wassertemperatur.org/walchensee/,,,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/waldsee/,,,,,,,,
https://www.wassertemperatur.org/walensee/,24.0,km²,,,,,,
https://www.wassertemperatur.org/oesterreich/wallersee/,6.1,km²,,,,,,
https://www.wassertemperatur.org/deutschland/nrw/wankumer-heidesee/,,,,,,,,
https://www.wassertemperatur.org/bodensee/obersee/,,,,,,,,
https://www.wassertemperatur.org/bodensee/untersee/,,,,,,,,
https://www.wassertemperatur.org/bodensee/ueberlinger-see/,,,,,,,,
https://www.wassertemperatur.org/weissensee/,,,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/weitsee/,63.6,ha,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/weissensee/,1.35,km²,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/weissenstaedter-see/,48.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/wesslinger-see/,17.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/nrw/wisseler-see/,1.0,km²,,,,,,
https://www.wassertemperatur.org/wolfgangsee/,12.84,km²,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/wolfsee/,,,,,,,,
https://www.wassertemperatur.org/seen/schweiz/waegitalersee/,4.18,km²,,,,,,
https://www.wassertemperatur.org/worthersee/,,,,,,,,
https://www.wassertemperatur.org/woerthsee/,4.34,km²,,,,,,
https://www.wassertemperatur.org/deutschland/nrw/xantener-suedsee/,1.1,km²,,,,,,
https://www.wassertemperatur.org/oesterreich/zeller-see/,,,,,,,47.3295,12.7911
https://www.wassertemperatur.org/deutschland/bayern/zellersee/,,,,,,,,
https://www.wassertemperatur.org/seen/schweiz/zugersee/,38.41,km²,,,,,47.1428,8.528
https://www.wassertemperatur.org/deutschland/nrw/zuelpicher-see/,85.0,ha,,,,,,
https://www.wassertemperatur.org/zuerichsee/,88.17,km²,,,,,,
https://www.wassertemperatur.org/seen/schweiz/aegerisee/,7.3,km²,,,,,,
